Johnson,Rich Hill,Harvard,Fitzgerald-Spielberger
600,600,600,600
520,430.2,528.5483219,529.8
440,308.4,486.8176304,488.6
360,294.6,457.2179539,459.4
340,280.8,434.1690255,436.8
320,267.6,415.3659523,418.4
300,255.6,399.5956328,402.8
280,243.6,385.7662758,389.2
270,232.2,373.6352608,377.4
260,221.4,362.8386575,366.6
250,214.8,353.0125354,357
240,208.2,344.0355843,348.2
230,201.6,335.7864941,340
220,195,328.1439547,332.6
210,189,321.107966,325.6
200,183,314.4359078,319
190,177.6,308.12778,312.8
180,172.2,302.3048928,307
175,166.8,296.724626,301.6
170,161.4,291.3869794,296.4
160,156.6,286.4132632,291.4
156,151.8,281.5608573,286.8
152,147,277.0723817,282.2
148,142.2,272.5839062,277.8
144,138,268.4593611,273.8
140,133.8,264.4561262,269.8
136,129.6,260.4528912,266
132,125.4,256.8135867,262.2
128,121.8,253.1742822,258.8
124,117.6,249.6562879,255.2
120,114,246.2596037,252
118,110.4,242.9842297,248.8
116,108,212.5353821,245.6
112,105,210.2304893,242.6
110,102,207.9255964,239.6
108,99.6,205.6207036,236.8
106,97.2,203.4371209,234
104,94.2,201.2535382,231.4
102,91.8,199.0699555,228.6
100,89.4,197.007683,226.2
98,87.6,195.0667206,223.6
96,85.2,193.004448,221.2
94,82.8,191.0634856,218.8
92,81,189.1225233,216.4
90,78.6,187.1815609,214.2
88,76.8,185.3619086,212
86,74.4,183.5422564,209.8
84,72.6,181.7226041,207.6
82,70.8,180.024262,205.6
80,69,178.3259199,203.6
78,67.2,176.6275778,201.4
76,65.4,174.9292357,199.6
74,63.6,173.2308937,197.6
72,62.4,171.6538617,195.8
70,60.6,170.0768298,193.8
68,58.8,168.4997978,192
66,57.6,166.9227659,190.2
64,55.8,165.3457339,188.4
62,54.6,163.8900121,186.8
60,52.8,162.4342903,185
58.4,51.6,160.9785685,183.4
56.8,50.4,159.4015366,181.8
55.2,49.2,158.0671249,180
54,48,156.6114032,178.4
53,46.8,155.2769915,177
52,45.6,153.9425799,175.4
51,45,152.6081682,173.8
50,43.8,151.2737566,172.4
49,42.6,149.9393449,170.8
48,42,148.6049333,169.4
47,40.8,147.3918318,168
46,40.2,146.0574201,166.6
45,39,144.8443186,165.2
44,38.4,143.6312171,163.8
43,37.8,142.4181156,162.4
42,36.6,141.2050142,161
41,36,139.9919127,159.8
40,35.4,138.7788112,158.4
39,34.2,137.6870198,157.2
38,33.6,136.4739183,155.8
37,33,135.382127,154.6
36,32.4,134.2903356,153.4
35,31.2,133.0772341,152.2
34,30.6,131.9854428,151
33,30,130.8936514,149.8
32,29.4,129.9231702,148.6
31,28.8,128.8313789,147.4
30,28.2,127.7395875,146.2
29,27.6,126.6477962,145
28,27,125.677315,144
27.2,26.4,124.5855237,142.8
26.4,25.8,123.6150425,141.8
25.6,25.2,122.6445613,140.6
