adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception,pfr_id
69,3.24,4.7,79,,5,,444,7/21/79,,,233,76,,,,,,,,,,2,,,21,0,12,-28,3,16,16,44715.00,3.4,97,,,15,,,,,,,,,81,,,,20,David Carr,64,4.19,75,,52.5,2,9,2592,5.8,CarrDa00,QB,,,,,36628,62.8,,,,,,,59,3.7,3,282,4.8,17.6,3,,44,0,,2002,,HOU,,,,76,,72,59,,,212,282,411,81,11.1,162,,,,4.8,-28,,CarrDa00
94,4.9,5.5,90,,7,,295,7/21/79,,0,167,91,,,,,,,,,,2,,,4,0,1,-1,2,12,11,44715.00,4.4,78,,,13,,,,,,,,,78,,,0,36,David Carr,105,6.2,86,,56.6,3.1,9,2013,6.8,CarrDa00,QB,,,,,36593,69.5,0,0,0,,0,0,27,2.3,2,151,5.6,12.6,2,,111,0,,2003,,HOU,,,1,15,,87,27,,,212,151,90,100,12.1,167.8,,,,5.6,-1,,CarrDa00
103,5.67,6.9,108,,13,,466,7/21/79,,,285,106,,,,,,,,,,1,,,10,0,4,-8,1,16,16,44715.00,3,103,,,14,,,,,,,,,69,,,,24,David Carr,105,6.27,104,,61.2,3.4,16,3531,7.6,CarrDa00,QB,,,,,36716,83.5,,,,,,,73,4.6,0,299,4.1,18.7,0,,79,0,,2004,,HOU,,,,49,,92,73,,,212,299,301,113,12.4,220.7,,,,4.1,-8,,CarrDa00
80,3.77,5.4,89,,11,,423,7/21/79,,,256,103,,,,,,,,,,0,,,17,0,6,-7,1,16,16,44715.00,2.6,109,,,11,,,,,,,,,53,,,,20,David Carr,71,4.2,95,,60.5,3.3,14,2488,5.9,CarrDa00,QB,,,,,36570,77.2,,,,,,,56,3.5,1,308,5.5,19.3,1,,54,0,,2005,,HOU,,,,68,,91,56,,,212,308,424,82,9.7,155.5,,,,5.5,-7,,CarrDa00
90,4.57,5.5,91,,10,,442,7/21/79,,,302,128,45.8,,,,,,,,,1,,,16,0,5,-4,3,16,16,44715.00,2.7,107,,,12,,,,,,,,,53,,,,16,David Carr,87,5.23,101,,68.3,2.5,11,2767,6.3,CarrDa00,QB,,,,,36687,82.1,,,,,,,53,3.3,2,195,3.7,12.2,2,,87,0,,2006,,HOU,,,,41,,83,53,,,212,195,240,89,9.2,172.9,,,,3.7,-4,,CarrDa00
63,2.66,3.5,61,,2,,136,7/21/79,,,73,75,20,,,,,,,,,1,,,1,0,2,-6,1,6,4,44715.00,3.7,90,,,5,,,,,,,,,38,,,,15,David Carr,58,3.77,67,,53.7,2.2,3,635,4.7,CarrDa00,,,,,,36528,58.3,,,,,,,17,2.8,0,59,3.5,9.8,0,,84,0,,2007,,CAR,,,,13,,80,17,,,212,59,74,54,8.7,105.8,,,,3.5,-6,,CarrDa00
,11.77,12.9,,,0,,12,7/21/79,,,9,,88.2,,,,,,,,,,,,0,,,,,3,0,44715.00,0,,,,0,,,,,,,,,27,,,,7,David Carr,,8.69,,,75,16.7,2,115,9.6,CarrDa00,,,,,,,144.1,,,,,,,8,2.7,0,10,1.3,3.3,0,,,,,2008,,NYG,,,,1,,,8,,,212,10,2,,12.8,38.3,,,,1.3,,,CarrDa00
,6.69,7.4,,,1,,33,7/21/79,,,21,,70.7,,,,,,,,,,,,1,0,0,-1,,6,0,44715.00,0,,,,0,,,,,,,,,37,,,,12,David Carr,,6.11,,,63.6,3,1,225,6.8,CarrDa00,,,,,,,93.6,,,,,,,9,1.5,1,27,3,4.5,1,,,0,,2009,,NYG,,,,2,,,9,,,212,27,11,,10.7,37.5,,,,3,-1,,CarrDa00
,1.21,1.7,,,0,,13,7/21/79,,,5,,4.6,,,,,,,,,,,,,,,,,1,0,44715.00,7.7,,,,1,,,,,,,,,22,,,,,David Carr,,4.43,,,38.5,0,0,67,5.2,CarrDa00,,,,,,,23.6,,,,,,,,,,,,,,,,,,2010,,SFO,,,,1,,,,,,212,,5,,13.4,67,,,,,,,CarrDa00
,3.25,6.3,,,0,,3,7/21/79,,,2,,2.3,,,,,,,,,,,,1,0,1,0,,2,0,44715.00,0,,,,0,,,,,,,,,15,,,,-1,David Carr,,3.25,,,66.7,0,0,19,6.3,CarrDa00,,,,,,,84,,,,,,,3,1.5,0,-3,-1,-1.5,0,,,0,,2012,,NYG,,,,1,,,3,,,212,-3,6,,9.5,9.5,,,,-1,0,,CarrDa00
